CODE,NAME,FACE VALUE,CATEGORY,ELECTRONIC,MARKET LOT,TOTAL SHARE,PE,LOW,MARKET CAP,AUTHORIZED CAP,PAID UP CAP,SECTOR,LISTING YEAR,SPONSOR,GOVT,INSTITUTE,FOREIGN,PUBLIC,LAST AGM,YEAR END,,,RESERVE SURPLUS
1JANATAMF,FIRST JANATA BANK MUTUAL FUND,10,A,Y,500,200000000,7.63,4.9 - 7.9,1200,0,2000,Mutual Funds,2010,25,0,30,0,45,,201306,,,228.67
1STICB,1ST ICB M.F.,10,A,Y,50,750000,14.62,775 - 960,637.5,0,8,Mutual Funds,1980,0,0,0,0,0,n/a,201306,,,122.56
1STPRIMFMF,PRIME FINANCE FIRST MUTUAL FUND,10,A,Y,500,20000000,24.9,10.9 - 31.9,508,0,200,Mutual Funds,2009,20,0,30,0,50,,201012,,,59.62
2NDICB,2ND ICB M.F.,10,A,Y,50,500000,4.05,207 - 372,128.4,0,5,Mutual Funds,1984,0,0,0,0,0,n/a,201306,,,45.74
3RDICB,3RD ICB M.F.,10,A,Y,50,1000000,6.25,127 - 270,190.5,0,10,Mutual Funds,1985,0,0,0,0,0,n/a,201306,,,61.94
4THICB,4TH ICB M.F.,10,A,Y,100,1000000,5.4,122.1 - 242.1,190.1,0,10,Mutual Funds,1986,0,0,0,0,0,n/a,201306,,,67.24
5THICB,5TH ICB M.F.,10,A,Y,100,1500000,9.25,106.1 - 235,239.1,0,15,Mutual Funds,1989,0,0,0,0,0,n/a,201306,,,71.61
6THICB,6TH ICB M.F.,10,A,Y,100,5000000,3.36,43 - 77,262.5,0,50,Mutual Funds,1987,0,0,0,0,0,n/a,201306,,,103.51
7THICB,7TH ICB M.F.,10,A,Y,500,3000000,10.77,66 - 115.9,258,0,30,Mutual Funds,1995,0,0,0,0,0,n/a,201306,,,89.62
8THICB,8TH ICB M.F.,10,A,Y,500,5000000,15.06,47.1 - 82,261,0,50,Mutual Funds,1996,0,0,0,0,0,n/a,201306,,,129.95
AAMRATECH,AAMRA TECHNOLOGIES LIMITED,10,A,Y,250,55369395,26.4,22.9 - 49.4,1987.761,1000,554,IT Sector,2012,30,0,28,0,42,22/12/2013,201306,,,46.26
ABB1STMF,AB BANK 1ST MUTUAL FUND,10,A,Y,500,162615643,11.67,6.4 - 10.6,1122.048,0,1626,Mutual Funds,2012,20,0,46.44,0,33.56,,201306,,,92.36
ABBANK,AB BANK LIMITED,10,A,Y,50,497625376,15.79,21.2 - 33.8,13037.785,6000,4976,Bank,1983,4.55,0.57,0,0,94.88,7/7/2013,201212,,,11246.2
ACI,ACI  LIMITED.,10,A,Y,50,28582082,107.61,122.3 - 195,4901.827,500,286,Pharmaceuticals & Chemicals,1976,34.04,0,37.73,0,28.23,11/6/2013,201212,,,3189.6
ACIFORMULA,ACI FORMULATIONS LIMITED,10,A,Y,100,45000000,37.5,64.7 - 95.9,3550.5,500,450,Pharmaceuticals & Chemicals,2008,66.02,0,22.77,0,11.21,11/6/2013,201212,,,1263.74
ACIZCBOND,ACI 20% CONVERTIBLE ZERO COUPON BONDS,1000,A,Y,2,534340,,791.5 - 915,486.249,0,534,Corporate Bond,2010,0,0,60,0,40,,200912,,,0
ACTIVEFINE,ACTIVE FINE CHEMICALS LIMITED,10,A,Y,500,69000000,16.45,50.5 - 104.4,5678.7,1000,690,Pharmaceuticals & Chemicals,2010,14.78,0,20.8,0,64.42,18/04/2013,201212,,,268.06
AFTABAUTO,AFTAB AUTOMOBILES,10,A,Y,50,95732422,22.46,65 - 138.8,8682.931,1200,957,Engineering,1987,30.5,0,47.49,0,22.01,23/12/2013,201308,,,1981.13
AGNISYSL,AGNI SYSTEMS LTD.,10,A,Y,500,51798982,21.2,19.6 - 27.5,1186.197,1000,518,IT Sector,2003,12.75,0,16.33,0,70.92,24/12/2013,201306,,,19.21
AGRANINS,AGRANI INSURANCE CO. LTD.,10,A,Y,500,24157650,16.18,22.5 - 37.4,649.841,500,242,Insurance,2005,38.65,0,18.3,0,43.05,23/06/2013,201212,,,74.34
AIBL1STIMF,AIBL 1ST ISLAMIC MUTUAL FUND,10,A,Y,500,100000000,4.21,4.7 - 8.5,720,0,1000,Mutual Funds,2011,10,0,40,0,50,,201203,,,-74.57
AIMS1STMF,AIMS 1ST M.F.,10,A,Y,250,41450000,13.48,33.6 - 59.4,1695.305,0,415,Mutual Funds,2000,0,0,0,0,0,n/a,201206,,,1305.81
AL-HAJTEX,AL-HAJ TEXTILE,10,A,Y,50,12691843,22.5,32.5 - 121,925.235,500,127,Textile,1983,24.02,0.03,4.19,0,71.76,28/12/2013,201306,,,40.96
ALARABANK,AL-ARAFAH ISLAMI BANK,10,A,Y,250,834324671,9.12,13.3 - 26.1,15935.601,15000,8343,Bank,1998,37.52,0,16.12,0,46.36,14/05/2013,201212,,,4105.74
ALLTEX,ALLTEX INDUSTRIES LTD.,10,Z,Y,500,48000000,n/a,6.8 - 11,345.6,1000,480,Textile,1996,37.5,0,11.27,0,51.23,24/12/2013,201306,,,-91.16
AMBEEPHA,AMBEE PHARMA,10,A,Y,50,2000000,51.9,161.1 - 363.7,519,25,20,Pharmaceuticals & Chemicals,1986,64.8,0,22.82,8.95,3.43,30/05/2013,201212,,,32.28
AMCL(PRAN),AMCL (PRAN),10,A,Y,100,8000000,36.73,111 - 337.1,1504,500,80,Food & Allied,1996,42.75,0,1.34,0,55.91,19/12/2013,201306,,,337.1
ANLIMAYARN,ANLIMAYARN DEYING LTD.,10,A,Y,500,17867800,73.33,15.1 - 41.6,478.857,200,179,Textile,1997,47,0,11,0,42,24/12/2013,201306,,,35.6
ANWARGALV,ANWAR GALVANIZING,10,B,Y,500,13200000,385,12.9 - 36.3,413.16,200,132,Engineering,1996,38.32,0,41.38,0,20.3,28/03/2013,201206,,,-25.36
APEXADELFT,APEX ADELCHI FOOTWEAR LIMITED.,10,A,Y,200,11250000,15.41,206 - 454,4636.125,500,113,Tannery Industries,1993,10.56,0,69.4,0.32,19.72,9/5/2013,201212,,,2105.43
APEXFOODS,APEX FOODS,10,A,Y,50,5702400,24.04,60.5 - 125,544.009,150,57,Food & Allied,1981,50.42,0,19.18,0,30.4,28/09/2013,201306,,,251.75
APEXSPINN,APEX SPINNING & KNITTING MILLS LIMITED,10,A,Y,200,8400000,43.23,54 - 101,590.52,300,84,Textile,1994,50.28,0,30.79,0.29,18.64,28/09/2013,201303,,,315.29
APEXTANRY,APEX TANNERY,10,A,Y,100,15240000,19.79,65.1 - 154.9,1898.904,500,152,Tannery Industries,1985,30,0,33,0,37,26/09/2013,201306,,,479.59
APOLOISPAT,APPOLLO ISPAT COMPLEX LIMITED,10,N,Y,200,250000000,13.83,32 - 41.5,9150,5000,2500,Engineering,2013,30.47,0,33.53,0,36,,201206,,,1916.47
ARAMIT,ARAMIT,10,A,Y,50,6000000,30.44,192 - 387.9,1985.4,100,60,Miscellaneous,1984,34.94,0,36.95,0,28.11,15/06/2013,201212,,,539.58
ARAMITCEM,ARAMIT CEMENT,10,A,Y,500,16940000,37.46,60.2 - 97.7,1428.042,500,169,Cement,1998,42.86,0,24.75,0,32.39,15/06/2013,201212,,,78.83
ARGONDENIM,ARGON DENIMS LIMITED,10,A,Y,200,72000000,26.1,30.2 - 100.8,6832.8,1000,720,Textile,2013,50,0,2.14,0,47.86,23/04/2013,201212,,,317.82
ASIAINS,ASIA INSURANCE LIMITED,10,A,Y,250,44828437,19.42,25.2 - 40,1344.853,1000,448,Insurance,2009,40,0,13.37,0,46.63,22/06/2013,201212,,,169.06
ASIAPACINS,ASIA PACIFIC GENERAL INSURANCE CO. LTD.,10,A,Y,500,42350000,11.33,25.2 - 40.2,1270.5,1000,424,Insurance,2006,42.31,0,0,0,57.69,31/08/2013,201212,,,159.32
ATLASBANG,ATLAS BANGLADESH,10,A,Y,50,23703702,29.48,140 - 232,3586.37,1000,237,Engineering,1988,0,51,11.46,0,37.54,28/12/2013,201306,,,4522.89
AZIZPIPES,AZIZ PIPES,10,Z,Y,50,4850000,36.82,14.3 - 25,100.88,500,49,Engineering,1986,40.22,0,1.87,0,57.91,23/06/2013,201212,,,-359.08
BANGAS,BANGAS,10,A,Y,50,3660525,90.95,160 - 734,1746.803,500,37,Food & Allied,1984,50,0,7.22,0,42.78,8/9/2013,201306,,,71.63
BANKASIA,BANK ASIA LTD.,10,A,Y,500,693632359,15.57,15.7 - 24,15953.544,15000,6936,Bank,2004,51.35,0,25,0.43,23.22,31/03/2013,201212,,,6177.83
BATASHOE,BATA SHOE,10,A,Y,100,13680000,13.37,501 - 846,9439.2,200,137,Tannery Industries,1985,70,0,0,0.02,29.98,19/06/2013,201212,,,1717.2
BATBC,BATBC,10,A,Y,50,60000000,20.85,826.3 - 1760,96186,600,600,Food & Allied,1977,72.91,0.64,15.53,0,10.92,1/4/2013,201212,,,6432.94
BAYLEASING,BAY LEASING & INVESTMENT LIMITED,10,A,Y,500,113832000,25.58,23.9 - 43.8,4837.86,3000,1138,Financial Institutions,2009,39.25,0,23.28,0.24,37.23,27/05/2013,201212,,,1378.56
BDAUTOCA,BD.AUTOCARS,10,Z,Y,50,3640778,n/a,18.9 - 60,104.126,100,36,Engineering,1988,46.87,0,3.77,0,49.36,24/12/2013,201306,,,-15.74
BDBUILDING,BANGLADESH BUILDING SYSTEMS LTD.,10,A,Y,500,73600000,18.24,35.1 - 81.7,4975.36,1500,736,Engineering,2013,49.79,0,30.52,0,19.69,19/12/2013,201306,,,133.86
BDCOM,BDCOM ONLINE LTD.,10,A,Y,500,33339952,16.47,16.6 - 33.6,1013.535,1000,333,IT Sector,2002,21.29,0,13.61,0,65.1,25/12/2013,201306,,,27.56
BDFINANCE,BANGLADESH FINANCE AND INVESTMENT CO.LTD,10,A,Y,100,104022708,47,16.8 - 34.4,2007.638,2000,1040,Financial Institutions,2007,54.26,0,7.21,0,38.53,24/06/2013,201212,,,305.43
BDLAMPS,BANGLADESH LAMPS,10,A,Y,50,9370608,n/a,81 - 193,1179.76,500,94,Engineering,1981,61.03,0,21.13,0.03,17.81,12/5/2013,201212,,,520.88
BDSERVICE,BANGLADESH SERVICES LTD.,10,A,Y,50,73942468,12.17,8.8 - 8.8,539.78,2500,739,Travel & Leisure,1984,0,99.68,0,0.23,0.09,4/9/2013,201212,,,667.29
BDTHAI,BD.THAI ALUMINIUM,10,B,Y,100,45311713,39.44,19 - 38.3,1377.476,1000,453,Engineering,1990,17.06,0,7.62,0,75.32,15/06/2013,201212,,,683.08
BDWELDING,BD. WELDING ELECTRODES,10,B,Y,500,40876290,40.47,16.6 - 29.2,960.593,500,409,Fuel & Power,1999,7.95,0,31.68,0,60.37,15/06/2013,201212,,,278.62
BEACHHATCH,BEACH HATCHERY LTD.,10,A,Y,500,34286560,37.88,14.8 - 36.8,1052.597,1000,343,Food & Allied,2002,35.01,0,19.5,0,45.49,30/06/2013,201212,,,85
BEACONPHAR,BEACON PHARMACEUTICALS LIMITED,10,Z,Y,500,231000000,165,11.1 - 19.2,3049.2,3000,2310,Pharmaceuticals & Chemicals,2010,30,0,18.89,0,51.11,18/12/2013,201306,,,463.26
BEDL,BARAKATULLAH ELECTRO DYNAMICS LTD.,10,A,Y,200,131115600,16,24.4 - 44.4,4431.707,3000,1311,Fuel & Power,2011,26.81,0,0,0,73.19,16/11/2013,201306,,,144.57
BENGALWTL,BENGAL WINDSOR THERMOPLASTICS LTD.,10,N,Y,200,75600000,13.07,40.3 - 69.9,4755.24,1000,756,Engineering,2013,64.9,0,19.57,0,15.53,15/12/2013,201306,,,614.94
BERGERPBL,BERGER PAINTS BANGLADESH LTD.,10,A,Y,50,23188940,21.11,478 - 935,20334.381,400,232,Miscellaneous,2006,95,0,3.5,0.24,1.22,21/04/2013,201212,,,1976.66
BEXIMCO,BEXIMCO,10,A,Y,100,522624843,31.46,26.1 - 71.5,16828.52,10000,5226,Miscellaneous,1989,19.95,0,11.03,7.95,61.07,29/06/2013,201212,,,41397.7
BGIC,BGIC,10,A,Y,100,54027250,12.43,22.5 - 35.3,1566.79,1000,540,Insurance,1989,7.58,0,15.5,0,76.92,8/5/2013,201212,,,287.06
BIFC,BANGLADESH INDUSTRIAL FIN. CO. LTD.,10,B,Y,500,63923775,137.25,12.5 - 29.7,1105.881,4000,639,Financial Institutions,2006,62.18,0,11.59,0,26.23,4/7/2013,201212,,,548.35
BRACBANK,BRAC BANK LTD.,10,A,Y,500,443304576,7.82,24.9 - 37.9,14451.729,12000,4433,Bank,2007,50,0,5.6,0,44.4,9/5/2013,201212,,,4828.37
BRACSCBOND,SUB 25% CONVERTIBLE BONDS OF BRAC BANK L,1000,A,Y,5,3000000,,975 - 1150,2985,0,3000,Corporate Bond,2011,0,0,90,0,10,,201012,,,0
BSC,BSC,100,A,Y,5,8274000,n/a,186 - 736.25,3417.162,4000,827,Miscellaneous,1977,0,21.15,10.15,0,68.7,8/5/2013,201206,,,-1327.98
BSCCL,BANGLADESH SUBMARINE CABLE COMPANY LIMITED,10,A,Y,100,149914100,39.24,111.4 - 340,25200.56,10000,1499,Telecommunication,2012,0,73.85,12.46,0,13.69,26/10/2013,201306,,,1732.35
BSRMSTEEL,BSRM STEELS LIMITED,10,A,Y,500,341775000,15.78,43.7 - 87.5,23479.943,5000,3418,Engineering,2009,48.38,0,0,0.41,51.21,30/04/2013,201212,,,2938.54
BXPHARMA,BEXIMCO PHARMA,10,A,Y,50,350334907,11.38,39.5 - 66.3,16535.808,9100,3503,Pharmaceuticals & Chemicals,1986,13.95,0,13.22,23.58,49.25,29/06/2013,201212,,,9635.34
BXSYNTH,BEXIMCO SYNTHETICS,10,A,Y,200,86712359,56.93,13.7 - 28.2,1448.096,2000,867,Pharmaceuticals & Chemicals,1993,36.07,0,6.23,0.02,57.68,29/06/2013,201212,,,1336.81
CENTRALINS,CENTRAL INSURANCE,10,A,Y,200,41519311,11.95,24.2 - 39,1216.516,1000,415,Insurance,1995,54.21,0,10.57,0,35.22,20/06/2013,201212,,,319.37
CENTRALPHL,CENTRAL PHARMACEUTICALS LIMITED,10,A,Y,500,71300000,25.87,26.8 - 54,3151.46,1000,713,Pharmaceuticals & Chemicals,2013,50.17,0,29.51,0,20.32,20/11/2013,201306,,,46.05
CITYBANK,CITY BANK,10,A,Y,50,695077817,16.88,14.9 - 28.3,14040.572,10000,6951,Bank,1986,31.22,0,15.09,0,53.69,16/06/2013,201212,,,9176.52
CITYGENINS,CITY GENERAL INSURANCE CO. LTD.,10,A,Y,100,46558380,13.74,22 - 42.8,1280.355,2000,466,Insurance,2007,39.16,0,19.51,0.01,41.32,18/06/2013,201212,,,107.86
CMCKAMAL,CMC KAMAL,10,A,Y,100,76492968,21.51,22.3 - 38.7,2493.671,2000,765,Textile,1997,26.76,0,0,0,73.24,16/06/2013,201212,,,436.87
CONFIDCEM,CONFIDENCE CEMENT,10,A,Y,20,44993520,16.76,86.7 - 158.9,5574.697,500,450,Cement,1995,23.47,0,26.5,0,50.03,20/06/2013,201212,,,1445.12
CONTININS,CONTINENTAL INSURANCE LTD.,10,A,Y,500,31345050,12.53,22.3 - 40.8,909.006,600,313,Insurance,2008,30.25,0,37.8,0,31.95,7/5/2013,201212,,,313
CVOPRL,CVO PETROCHEMICAL REFINERY LIMITED,10,Z,Y,100,19800000,n/a,89 - 943.7,12167.1,1500,198,Food & Allied,1990,50,0,16.05,0,33.95,15/12/2013,201306,,,14.06
DACCADYE,THE DACCA DYEING & MANUFACTURING CO.LTD.,10,A,Y,500,72027648,20,20.2 - 35,1771.88,3000,720,Textile,2009,30.23,0,23.75,0,46.02,27/12/2013,201306,,,1142.29
DAFODILCOM,DAFFODIL COMPUTERS LTD.,10,Z,Y,500,49912262,17.76,12.6 - 23,698.772,500,499,IT Sector,2006,45,0,0,0,55,30/12/2013,201306,,,49.26
DBH,DELTA BRAC HOUSING FINANCE CORP. LTD.,10,A,Y,500,116049375,12.08,48.5 - 74,6382.716,2000,1160,Financial Institutions,2008,75.48,0,12.25,5.24,7.03,4/12/2013,201306,,,1253.07
DBH1STMF,DBH FIRST MUTUAL FUND,10,A,Y,500,120000000,70,4.9 - 8.2,672,0,1200,Mutual Funds,2010,16.67,0,50,0,33.33,,201306,,,-38.85
DEBARACEM,ARAMIT CEMENT LTD.(DEB-14%),1285,n/a,N,2,45000,,-,83.925,0,57.83,Debenture,1998,0,0,0,0,0,n/a,200106,,,0
DEBBDLUGG,BANGLADESH LUGGAGE IND. LTD.(DEB-14%),0,n/a,N,2,0,,-,0,0,0,Debenture,1996,0,0,0,0,0,n/a,200106,,,0
DEBBDWELD,BD WELDING ELECTRODES LTD.(DEB-15%),400,n/a,N,2,8000,,-,11.346,500,3.2,Debenture,1999,0,0,0,0,0,n/a,200106,,,0
DEBBDZIPP,BANGLADESH ZIPPER IND. LTD.(DEB-14%),0,n/a,N,2,0,,-,0,0,0,Debenture,1995,0,0,0,0,0,n/a,200106,,,0
DEBBXFISH,BEXIMCO FISHERIES LTD.(DEB-14%),0,n/a,N,1,40000,,-,33.4,0,0,Debenture,1994,0,0,0,0,0,n/a,200106,,,0
DEBBXKNI,BEXIMCO KNITTING LTD.(DEB-14%),0,n/a,N,2,100000,,-,90,0,0,Debenture,1994,0,0,0,0,0,n/a,200106,,,0
DEBBXTEX,BEXIMCO TEXTILES LTD.(DEB-14%),173,n/a,N,2,96000,,-,124.8,0,16.61,Debenture,1995,0,0,0,0,0,n/a,200106,,,0
DELTALIFE,DELTA LIFE INSURANCE,10,A,Y,50,99000000,,225.8 - 8500,26403.3,5000,990,Insurance,1995,36.76,0,0,0,63.24,16/11/2013,201212,,,0
DELTASPINN,DELTA SPINNERS LTD.,10,A,Y,200,45862800,34.91,25.6 - 46,1875.789,1500,459,Textile,1995,33,0,12,0,55,28/12/2013,201306,,,772.22
DESCO,DHAKA ELECTRIC SUPPLY COMPANY LTD.,10,A,Y,500,299318506,243.33,56.7 - 97.5,17480.201,5000,2993,Fuel & Power,2006,0,75,12.6,0.32,12.08,2/1/2013,201206,,,7485.52
DESHBANDHU,DESHBANDHU POLYMER LIMITED,10,B,Y,500,50715000,39.64,15.6 - 28,1136.016,1000,507,Engineering,2011,33.54,0,0,0,66.46,29/12/2013,201306,,,8.24
DHAKABANK,DHAKA BANK,10,A,Y,100,541440919,18.17,16.7 - 26.8,10179.089,10000,5414,Bank,2000,43.64,0,18.97,0,37.39,18/04/2013,201212,,,4371.89
DHAKAINS,DHAKA INSURANCE LIMITED,10,A,Y,500,37500000,16.77,37 - 63.8,1515,1200,375,Insurance,2010,51.61,0,8.58,0,39.81,20/06/2013,201212,,,282.96
DSHGARME,DESH GARMANTS,10,B,Y,100,3370000,131.88,20 - 108,210.625,100,34,Textile,1989,58.05,0,6.79,0,35.16,18/12/2013,201306,,,7.37
DULAMIACOT,DULAMIA COTTON,10,Z,Y,100,7556600,n/a,0 - 11.2,58.941,300,76,Textile,1989,58,0,0,0,42,7/12/2013,201306,,,-299.79
DUTCHBANGL,DUTCH-BANGLA BANK,10,A,Y,500,200000000,11.44,87 - 123.8,20940,4000,2000,Bank,2001,86.99,0,0,0,13.01,28/04/2013,201212,,,8533.97
EASTERNINS,EASTERN INSURANCE,10,A,Y,200,43110144,14.31,28.1 - 45.8,1603.697,1000,431,Insurance,1994,52,0,22,0,26,7/7/2013,201212,,,681.99
EASTLAND,EASTLAND INSURANCE,10,A,Y,200,49166559,13.14,37.6 - 72.3,2310.828,1000,492,Insurance,1994,35.86,0,29.01,0,35.13,28/03/2013,201212,,,389.16
EASTRNLUB,EASTERN LUBRICANTS,10,A,Y,50,994000,59.13,195 - 496,305.655,50,10,Fuel & Power,1976,0,73.09,10.64,0,16.27,19/01/2013,201206,,,55.35
EBL,EASTERN BANK,10,A,Y,200,611179785,12.66,24.6 - 33.8,17785.332,12000,6112,Bank,1993,31.57,0,12.46,0,55.97,31/03/2013,201212,,,11137.8
EBL1STMF,EBL FIRST MUTUAL FUND,10,A,Y,500,109157509,14.58,6.3 - 10.8,764.103,0,1092,Mutual Funds,2009,20,0,60,0,20,,201306,,,124.97
EBLNRBMF,EBL NRB MUTUAL FUND,10,A,Y,500,162733447,20,6 - 10.4,1269.321,0,1627,Mutual Funds,2011,16.67,0,36,0,47.33,,201306,,,79.23
ECABLES,EASTERN CABLES,10,Z,Y,100,24000000,121.47,49 - 111,2011.2,600,240,Engineering,1986,0,51,0,0,49,8/6/2013,201206,,,212.85
EHL,EASTERN HOUSING,10,A,Y,200,80635054,27.78,34 - 66.3,3934.991,2000,806,Services & Real Estate,1994,50.75,0,14.62,0,34.63,11/12/2013,201307,,,680.03
ENVOYTEX,ENVOY TEXTILES LIMITED,10,A,Y,200,140595000,16.96,38.8 - 63.8,7634.309,2750,1406,Textile,2012,46.15,0,19.36,4.17,30.32,20/12/2013,201309,,,2797.71
EXIM1STMF,EXIM BANK 1ST MUTUAL FUND,10,A,Y,500,100000000,12.19,6.5 - 11.5,780,0,1000,Mutual Funds,2013,20,0,33,0,47,,201306,,,0
EXIMBANK,EXPORT IMPORT (EXIM) BANK OF BANGLADESH,10,A,Y,100,1156634782,952.5,10.2 - 21.8,14920.589,20000,11566,Bank,2004,45.55,0,0,0,54.45,27/08/2013,201212,,,4983.76
FAMILYTEX,FAMILYTEX (BD) LIMITED,10,Z,Y,500,139062300,6.95,27.5 - 72.9,8079.52,1400,1391,Textile,2013,50.01,0,27.99,0,22,4/8/2013,201212,,,708.5
FAREASTFIN,FAREAST FINANCE & INVESTMENT LIMITED,10,N,Y,500,160061786,n/a,13.3 - 28,2673.032,2000,1601,Financial Institutions,2013,71.89,0,2.81,0,25.3,,201112,,,686.83
FAREASTLIF,FAREAST ISLAMI LIFE INSURANCE CO. LTD.,10,A,Y,50,56623297,,86 - 137,5435.837,1000,566,Insurance,2005,30.12,0,0,0,69.88,2/10/2013,201212,,,0
FASFIN,FAS FINANCE & INVESTMENT LIMITED,10,B,Y,500,111750053,375,12.9 - 37.8,1665.076,2100,1118,Financial Institutions,2008,64,0,1.09,0,34.91,25/04/2013,201212,,,409.6
FBFIF,FIRST BANGLADESH FIXED INCOME FUND,10,A,Y,500,551369863,18.08,7.4 - 10.5,5127.74,0,5514,Mutual Funds,2012,40,0,23.35,0,36.65,,201306,,,202.58
FEDERALINS,FEDERAL INSURANCE,10,A,Y,100,46444334,14.05,21 - 32.8,1147.175,600,464,Insurance,1995,42,0,12,0,46,29/06/2013,201212,,,45.63
FINEFOODS,FINE FOODS LIMITED,10,B,Y,500,13040093,n/a,13.2 - 32.9,310.354,1000,130,Food & Allied,2002,3,0,1,0,96,25/12/2013,201306,,,5.43
FIRSTSBANK,FIRST SECURITY ISLAMI BANK LIMITED,10,A,Y,100,411438720,10.96,10.7 - 19.1,6212.725,10000,4114,Bank,2008,51.28,0,13.08,0,35.64,20/04/2013,201212,,,1550.41
FLEASEINT,FIRST LEASE FINANCE AND INVESTMENT LTD.,10,A,Y,500,100623600,16.31,22.2 - 51.9,3340.704,5000,1006,Financial Institutions,2003,40.8,0,26.94,0,32.26,30/04/2013,201212,,,296.63
FUWANGCER,FU-WANG CERAMIC,10,A,Y,500,84612388,24.17,16.7 - 24.8,1743.015,1000,846,Ceramics Sector,1998,19,0,29,0,52,26/12/2013,201306,,,117.63
FUWANGFOOD,FU WANG FOOD,10,A,Y,100,65830195,28.1,20.7 - 32,1553.593,1000,658,Food & Allied,2000,5,0,25,0,70,26/12/2013,201306,,,119.46
GBBPOWER,GBB POWER LTD.,10,A,Y,200,73312485,19.42,23.6 - 37.9,2192.043,2000,733,Fuel & Power,2012,47.96,0,16.07,0,35.97,15/07/2013,201212,,,54.72
GEMINISEA,GEMINI SEA FOOD,10,Z,Y,50,1100000,n/a,92.5 - 280.7,164.34,20,11,Food & Allied,1985,78.54,0,3.99,0,17.47,30/12/2013,201309,,,-17.27
GENNEXT,GENERATION NEXT FASHIONS LIMITED,10,A,Y,500,168717600,16.86,19.9 - 41,6225.679,2000,1687,Textile,2012,55.37,0,21.59,0,23.04,22/04/2013,201212,,,618.29
GHAIL,GOLDEN HARVEST AGRO INDUSTRIES LTD.,10,A,Y,300,81900000,20.61,29.4 - 84,3595.41,1000,819,Food & Allied,2013,35.03,0,19.94,0.01,45.02,12/12/2013,201306,,,767.56
