CODE,NAME,FACE VALUE,CATEGORY,ELECTRONIC,MARKET LOT,TOTAL SHARE,PE,LOW,MARKET CAP,AUTHORIZED CAP,PAID UP CAP,SECTOR,LISTING YEAR,SPONSOR,GOVT,INSTITUTE,FOREIGN,PUBLIC,LAST AGM,YEAR END,,,RESERVE SURPLUS
GHCL,GLOBAL HEAVY CHEMICALS LIMITED,10,A,Y,250,72000000,26.66,41.1 - 101,4089.6,1000,720,Pharmaceuticals & Chemicals,2013,68.33,0,16.67,0,15,27/06/2013,201212,,,1631.44
GLAXOSMITH,GLAXO SMITHKLINE,10,A,Y,50,12046449,21.41,470 - 1178,11512.791,200,120,Pharmaceuticals & Chemicals,1976,81.98,0,14.32,0,3.7,23/04/2013,201212,,,1365.1
GLOBALINS,GLOBAL INSURANCE LTD.,10,A,Y,500,24596880,19.26,24.5 - 42.2,710.85,1000,246,Insurance,2005,34.24,0,26.39,0,39.37,8/6/2013,201212,,,43.63
GOLDENSON,GOLDEN SON LTD.,10,A,Y,500,122118950,19.06,37.8 - 67,8011.003,1500,1221,Engineering,2007,45.29,0,21,0,33.71,27/06/2013,201212,,,1192.72
GP,GRAMEENPHONE LTD.,10,A,Y,200,1350300022,19.1,138.1 - 247.2,271275.274,40000,13503,Telecommunication,2009,90,0,4.7,0.26,5.04,10/4/2013,201212,,,14112.9
GPHISPAT,GPH ISPAT LTD.,10,A,Y,500,118800000,19.29,36 - 63.6,6082.56,2500,1188,Engineering,2012,77.78,0,0,0,22.22,9/11/2013,201304,,,238.11
GQBALLPEN,GQ BALL PEN,10,A,Y,50,7763558,35.63,130.1 - 185,1106.307,200,78,Miscellaneous,1986,41.88,0,1.82,0.05,56.25,27/06/2013,201212,,,1795.33
GRAMEEN1,GRAMEEN MUTUAL FUND ONE,10,A,Y,500,25500000,21.52,34.1 - 74,1142.4,0,255,Mutual Funds,2005,10,0,61,0,29,n/a,201206,,,470.15
GRAMEENS2,GRAMEEN ONE : SCHEME TWO,10,A,Y,500,137500000,16.92,13.3 - 25,2420,0,1375,Mutual Funds,2008,20,0,54.4,0,25.6,0,201206,,,713.79
GREENDELMF,GREEN DELTA MUTUAL FUND,10,A,Y,500,150000000,n/a,4.7 - 7.7,795,0,1500,Mutual Funds,2010,10,0,45,0,45,,201306,,,-99.75
GREENDELT,GREEN DELTA INSURANCE,10,A,Y,100,63787500,36.11,50.1 - 139.7,6053.434,1000,638,Insurance,1989,54.99,0,20.42,0.28,24.31,28/03/2013,201212,,,4004.84
GSPFINANCE,GSP FINANCE COMPANY (BANGLADESH) LIMITED,10,A,Y,500,60272291,21.14,22.7 - 37,1898.577,1000,603,Financial Institutions,2012,59.05,0,0,0,40.95,8/6/2013,201212,,,436.87
HAKKANIPUL,HAKKANI PULP & PAPER,10,B,Y,500,19000000,82.27,15.6 - 43.5,689.7,500,190,Paper & Printing,2001,57.3,0,8.51,0,34.19,30/12/2013,201306,,,399.18
HEIDELBCEM,HEIDELBERG CEMENT BD.,10,A,Y,50,56503590,13.3,225.6 - 464,21510.917,1000,565,Cement,1989,60.66,0,20.58,0,18.76,29/05/2013,201212,,,5734.99
HRTEX,H.R.TEXTILE,10,A,Y,500,25300000,20.34,18.8 - 49,1042.36,1000,253,Textile,1997,51.04,0,12.08,0,36.88,9/4/2013,201209,,,124.4
IBBLPBOND,IBBL MUDARABA PERPETUAL BOND,1000,A,Y,5,3000000,,885.25 - 1025,2913,0,3000,Corporate Bond,2007,0,0,0,0,100,22/05/2013,201212,,,0
IBNSINA,THE IBN SINA,10,A,Y,100,19440000,33.53,70 - 149,1932.336,500,194,Pharmaceuticals & Chemicals,1989,47.99,0,12.72,0,39.29,8/6/2013,201212,,,466.92
ICB,ICB,100,A,Y,50,42187500,30.1,1176 - 2334.25,61635.938,10000,4219,Financial Institutions,1977,0,27,70.82,0,2.18,30/11/2013,201306,,,21420.1
ICB1STNRB,ICB AMCL 1ST NRB MUTUAL FUND,10,A,Y,500,10000000,3.94,21.5 - 35,254,0,100,Mutual Funds,2007,1,0,0,0,99,n/a,201206,,,80.75
ICB2NDNRB,ICB AMCL 2ND NRB MUTUAL FUND,10,A,Y,500,100000000,4.85,8.4 - 16.5,960,0,1000,Mutual Funds,2008,10,0,10,0,80,,201206,,,388.56
ICB3RDNRB,ICB AMCL THIRD NRB MUTUAL FUND,10,A,Y,500,100000000,8.5,4.8 - 7.7,510,0,1000,Mutual Funds,2010,10,0,10,0,80,,201206,,,17.14
ICBAMCL2ND,ICB AMCL SECOND MUTUAL FUND,10,A,Y,500,50000000,5.58,0 - 8,290,0,500,Mutual Funds,2009,20,0,0,0,80,,201206,,,65.63
ICBEPMF1S1,ICB EMPLOYEES PROVIDENT MF 1: SCHEME 1,10,A,Y,500,75000000,9.22,5.3 - 9,427.5,0,750,Mutual Funds,2009,10,0,20,0,70,,201206,,,72.29
ICBIBANK,ICB ISLAMIC BANK LIMITED,10,Z,Y,500,664702300,n/a,5.5 - 8.1,4054.684,15000,6647,Bank,1990,59.78,0,17.52,0,22.7,27/06/2013,201212,,,-15309
ICBISLAMIC,ICB AMCL ISLAMIC MUTUAL FUND,10,A,Y,500,10000000,4.28,16 - 26.8,175,0,100,Mutual Funds,2005,1,0,0,0,99,n/a,201206,,,54.73
ICBSONALI1,ICB AMCL SONALI BANK LIMITED 1ST MUTUAL FUND,10,A,Y,500,100000000,3.51,6 - 13.2,790,0,1000,Mutual Funds,2013,25,0,30,0,45,,201206,,,0
IDLC,IDLC FINANCE LTD.,10,A,Y,200,160875000,22.7,52.7 - 114.5,10119.038,4000,1609,Financial Institutions,1992,63.82,0,14.44,0,21.74,25/03/2013,201212,,,3080.79
IFIC,IFIC BANK,10,A,Y,50,380652112,7.82,18.3 - 38.7,13056.367,20000,3807,Bank,1986,11.31,32.75,33.91,0.28,21.75,12/5/2013,201212,,,3173.89
IFIC1STMF,IFIC BANK 1ST MUTUAL FUND,10,A,Y,500,130489510,12.69,5.8 - 10,861.231,0,1305,Mutual Funds,2010,20.83,0,45.83,0,33.33,,201306,,,123.15
IFILISLMF1,IFIL ISLAMIC MUTUAL FUND-1,10,A,Y,500,100000000,4.24,4.3 - 7,560,0,1000,Mutual Funds,2010,10,0,45,0,45,,201206,,,18.75
ILFSL,INTERNATIONAL LEASING & FINANCIAL SERV.L,10,B,Y,500,171078600,n/a,11.8 - 22.6,2703.042,2000,1711,Financial Institutions,2007,59.5,0,16.22,0,24.28,16/05/2013,201212,,,374.06
IMAMBUTTON,IMAM BUTTON,10,Z,Y,500,7700000,n/a,6.5 - 14.5,59.29,100,77,Pharmaceuticals & Chemicals,1996,35.14,0,16.56,0,48.3,21/12/2013,201306,,,-41.95
INTECH,INTECH ONLINE LTD.,10,A,Y,500,19272810,420,11.7 - 23.1,319.929,200,193,IT Sector,2002,2.56,0,7.86,0,89.58,27/06/2013,201212,,,1.52
IPDC,INDUSTRIAL PROM. & DEV. CO. OF BD LTD.,10,A,Y,500,104339235,22.5,15.1 - 22.5,2086.785,4000,1043,Financial Institutions,2006,51.05,21.88,0,0,27.07,25/04/2013,201212,,,816.92
ISLAMIBANK,ISLAMI BANK,10,A,Y,100,1463627880,19.4,33.1 - 45,50641.525,20000,14636,Bank,1985,59.48,0,8.11,10.14,22.27,22/05/2013,201212,,,25025
ISLAMICFIN,ISLAMIC FINANCE & INVESTMENT LTD.,10,A,Y,500,111849559,21.46,13.7 - 25.8,2091.587,2500,1118,Financial Institutions,2005,41.35,0,27.4,0,31.25,24/04/2013,201212,,,104.12
ISLAMIINS,ISLAMI INSURANCE BANGLADESH LIMITED,10,A,Y,500,22176000,20.31,22.7 - 40.4,720.72,1000,222,Insurance,2009,46.06,0,19.98,0,33.96,30/06/2013,201212,,,43.53
ISNLTD,INFORMATION SERVICES NETWORK,10,B,Y,500,10920003,n/a,12.1 - 29.2,206.388,500,109,IT Sector,2002,21.39,0,24.41,0,54.2,20/06/2013,201212,,,79.9
JAMUNABANK,JAMUNA BANK LTD.,10,A,Y,250,448753662,20.72,12.5 - 22,7314.685,10000,4488,Bank,2006,58.11,0,5.05,0.01,36.83,6/6/2013,201212,,,3842.58
JAMUNAOIL,JAMUNA OIL COMPANY LIMITED,10,A,Y,100,91260000,8.93,158.1 - 290,17503.668,3000,913,Fuel & Power,2007,0,60.08,19.25,0,20.67,12/1/2013,201206,,,3988.19
JANATAINS,JANATA INSURANCE,10,A,Y,200,30992060,33.92,25.5 - 319,802.694,1000,310,Insurance,1994,53.39,0,0,0,46.61,27/07/2013,201212,,,13.25
JMISMDL,JMI SYRINGES & MEDICAL DEVICES LTD.,10,A,Y,500,11000000,104.04,35.5 - 330,2284.7,1000,110,Pharmaceuticals & Chemicals,2013,66.34,0,0,0,33.66,6/7/2013,201212,,,380.66
JUTESPINN,JUTE SPINNERS,10,Z,Y,50,1700000,n/a,45 - 167,125.8,35,17,Jute,1984,39.82,0,29.36,0,30.82,14/12/2013,201306,,,-84.82
KARNAPHULI,KARNAPHULI INSURANCE,10,A,Y,100,36919692,17.05,21.6 - 35.6,897.149,600,369,Insurance,1995,22.12,0,26.55,0,51.33,11/6/2013,201212,,,213.71
KAY&QUE,KAY AND QUE,10,Z,Y,500,4902530,n/a,13 - 24.8,81.382,100,49,Engineering,1996,30.17,0,4.54,0,65.29,12/6/2013,201212,,,-19.45
KEYACOSMET,KEYA COSMETICS,10,A,Y,500,179066674,11.85,21.7 - 36,4960.147,2000,1791,Pharmaceuticals & Chemicals,2001,33.46,0,0.16,0,66.38,1/11/2013,201306,,,973.51
KOHINOOR,KOHINOOR CHEMICALS,10,A,Y,500,8125000,31.44,155.1 - 556,3006.25,500,81,Pharmaceuticals & Chemicals,1988,51.28,0,10.68,0,38.04,17/12/2013,201306,,,48.68
KPCL,KHULNA POWER COMPANY LIMITED,10,A,Y,100,344080676,8.37,43 - 61,16894.361,7000,3441,Fuel & Power,2010,70.59,0,0,0,29.41,19/06/2013,201212,,,2016.33
LAFSURCEML,LAFARGE SURMA CEMENT LTD.,10,Z,Y,500,1161373500,20.72,28.4 - 36.6,38906.012,14000,11614,Cement,2003,70.06,0,0,0,29.94,8/6/2013,201212,,,-3233.22
LANKABAFIN,LANKABANGLA FINANCE LTD.,10,A,Y,500,208349295,25.23,32 - 71,13855.228,3000,2083,Financial Institutions,2006,38.67,0,0,0,61.33,31/03/2013,201212,,,3299.58
LEGACYFOOT,LEGACY FOOTWEAR,10,B,Y,500,9378600,115.56,12.8 - 51.1,403.28,200,94,Tannery Industries,2000,42.77,0,8.39,6.12,42.72,29/06/2013,201212,,,67.48
LIBRAINFU,LIBRA INFUSIONS LIMITED,10,A,Y,200,1251600,82.99,170 - 703.3,506.898,100,13,Pharmaceuticals & Chemicals,1994,48.28,0,10.13,0,41.59,26/12/2013,201306,,,1949.47
LINDEBD,LINDE BANGLADESH LIMITED,10,A,Y,50,15218280,14.46,465.1 - 800,9576.864,200,152,Fuel & Power,1976,60,0,21.4,0,18.6,16/05/2013,201212,,,2039.58
LRGLOBMF1,LR GLOBAL BANGLADESH MUTUAL FUND ONE,10,A,Y,500,300000000,14.89,6.3 - 10,2190,0,3000,Mutual Funds,2011,16.67,0,49.82,0,33.52,,201209,,,148.65
MAKSONSPIN,MAKSONS SPINNING MILLS LIMITED,10,B,Y,500,205794225,36.4,12.2 - 22.3,4095.305,4960,2058,Textile,2008,26.23,0,24.72,0,49.05,28/03/2013,201209,,,435.37
MALEKSPIN,MALEK SPINNING MILLS LTD.,10,A,Y,500,193600000,10.42,15.7 - 32.9,5188.48,2000,1936,Textile,2010,43.75,0,20.16,0,36.09,24/12/2013,201306,,,4981.74
MARICO,MARICO BANGLADESH LIMITED,10,A,Y,50,31500000,15.61,299 - 914,24047.1,400,315,Pharmaceuticals & Chemicals,2009,90,0,8.3,0,1.7,19/08/2013,201303,,,2588.54
MBL1STMF,MBL 1ST MUTUAL FUND,10,A,Y,500,100000000,3.73,4.8 - 8.3,630,0,1000,Mutual Funds,2011,10,0,40,0,50,,201203,,,-92.22
MEGCONMILK,MEGHNA CONDENSED MILK,10,Z,Y,500,16000000,n/a,6.5 - 10.3,128,800,160,Food & Allied,2001,50,0,0,0,50,24/12/2013,201306,,,-539.23
MEGHNACEM,MEGHNA CEMENT,10,A,Y,100,22500400,22.45,85 - 177.9,3213.057,5000,225,Cement,1995,52.34,0,22.83,0,24.83,2/6/2013,201212,,,535.72
MEGHNALIFE,MEGHNA LIFE INSURANCE CO. LTD.,10,A,Y,50,23034368,,87 - 127.8,2678.897,600,230,Insurance,2005,17.88,0,0,0,82.12,4/7/2013,201212,,,0
MEGHNAPET,MEGHNA PET INDUSTRIES,10,Z,Y,500,12000000,n/a,5.2 - 11,79.2,300,120,Food & Allied,2001,50,0,0,0,50,24/12/2013,201306,,,-138.22
MERCANBANK,MERCANTILE BANK LTD.,10,A,Y,500,659961341,10.66,10.9 - 19.7,11021.354,8000,6600,Bank,2004,39.91,0,10.62,0,49.47,27/04/2013,201212,,,4332.61
MERCINS,MERCANTILE INSURANCE CO. LTD.,10,A,Y,500,43095360,18.08,21.6 - 35.5,1150.646,1000,431,Insurance,2004,31.62,0,0,0,68.38,26/06/2013,201212,,,119.12
METROSPIN,METRO SPINNING,10,A,Y,500,57608100,19.11,12.9 - 23.8,1244.335,1000,576,Textile,2002,26,0,17,0,57,30/12/2013,201306,,,340.5
MICEMENT,M.I. CEMENT FACTORY LIMITED,10,A,Y,100,148500000,17.57,62.8 - 113.8,11612.7,5000,1485,Cement,2011,70,0,0,0,30,24/12/2013,201306,,,1152.84
MIDASFIN,MIDAS FINANCING LTD.,10,Z,Y,500,60134338,n/a,27.1 - 47,2333.212,2000,601,Financial Institutions,2002,51.4,0,17.72,0,30.88,7/10/2013,201306,,,12.3
MIRACLEIND,MIRACLE IND.,10,B,Y,500,24150588,155.83,11.1 - 23.5,473.352,500,242,Miscellaneous,2000,50,0,3.82,0,46.18,21/12/2013,201306,,,106.55
MITHUNKNIT,MITHUN KNITTING,10,A,Y,200,19284879,22.13,48.9 - 137,1454.08,250,192.85,Textile,1994,31.11,0,17.27,0,51.62,20/12/2013,201306,,,203.16
MJLBD,MJL BANGLADESH LIMITED,10,A,Y,100,238473200,21.08,60 - 86.7,17909.337,10000,2385,Fuel & Power,2011,58.36,19.46,0,0,22.18,15/06/2013,201212,,,753.66
MODERNDYE,MODERN DYEING & SCREEN PRINTING LTD.,10,Z,Y,50,1368000,56.11,45.2 - 183.9,106.704,35,14,Textile,1988,68.69,0,5.17,0,26.14,19/09/2013,201306,,,0.5
MONNOCERA,MONNO CERAMIC,10,B,Y,50,23928020,52.19,23.1 - 46.1,799.196,500,239,Ceramics Sector,1983,55.81,0,16.76,0.01,27.42,27/12/2013,201306,,,2069.09
MONNOSTAF,MONNO JUTE STAFFLERS,10,A,Y,50,400000,56.06,150 - 525.9,115.56,10,4,Engineering,1982,56.81,0,20.53,0,22.66,27/06/2013,201212,,,13.91
MPETROLEUM,MEGHNA PETROLEUM LIMITED,10,A,Y,100,81981900,7.45,155 - 320,17298.181,4000,820,Fuel & Power,2007,0,58.67,23.52,0,17.81,26/01/2013,201206,,,2782.07
MTBL,MUTUAL TRUST BANK LTD.,10,A,Y,500,279784824,n/a,13.9 - 22.7,4560.493,10000,2798,Bank,2003,47.6,0,23.77,0,28.63,29/04/2013,201212,,,2035.72
NATLIFEINS,NATIONAL LIFE INSURANCE,10,A,Y,50,49552059,,232.3 - 345,16153.971,500,496,Insurance,1995,46.04,0,48.54,0,5.42,30/06/2013,201212,,,0
NAVANACNG,NAVANA CNG LIMITED,10,A,Y,100,68528592,17.34,57.8 - 91.8,4385.83,1500,685,Engineering,2009,42.65,0,16.57,0,40.78,26/09/2013,201303,,,859.12
NBL,NBL,10,B,Y,100,1419603244,n/a,9.9 - 23.4,16751.318,17500,14196,Bank,1984,32.4,0,11.99,1.88,53.73,9/6/2013,201212,,,8144.83
NCCBANK,NCCBL,10,A,Y,250,764690913,19.5,10.5 - 18.7,10017.451,10000,7647,Bank,2000,30.1,0,14.12,0.24,55.54,27/05/2013,201212,,,4497.43
NCCBLMF1,NCCBL MUTUAL FUND-1,10,A,Y,500,100000000,9.81,7.4 - 12.8,850,0,1000,Mutual Funds,2012,15,0,73.58,0,11.42,,201112,,,0
NHFIL,NATIONAL HOUSING FIN. AND INV. LTD.,10,B,Y,500,106392000,23.8,20 - 55,3489.658,2000,1064,Financial Institutions,2008,88.95,0,2.79,0,8.26,1/6/2013,201212,,,194.69
NITOLINS,NITOL INSURANCE CO. LTD.,10,A,Y,500,21636720,12.31,28.2 - 44.4,726.994,500,216,Insurance,2005,40,0,0,0,60,11/6/2013,201212,,,149.58
NLI1STMF,NLI FIRST MUTUAL FUND,10,A,Y,500,50333800,9.48,7.6 - 15.7,463.071,0,503,Mutual Funds,2012,21.85,0,49.17,0,28.98,,201306,,,51.42
NORTHERN,NORTHERN JUTE MANUFACTURING CO. LTD.,10,Z,Y,200,1700000,n/a,16.2 - 60.5,99.79,100,17,Jute,1994,50,0,0,30,20,27/12/2013,201306,,,-47.97
NORTHRNINS,NORTHERN GENERAL INSURANCE COMPANY LTD.,10,A,Y,500,28616784,13.45,27.8 - 54.5,1176.15,1000,286,Insurance,2008,38.73,0,27.16,0,34.11,1/6/2013,201212,,,33.07
NPOLYMAR,NATIONAL POLYMER,10,A,Y,100,12227835,21.58,27.5 - 81,685.982,500,122,Engineering,1993,22.73,0,40.15,0,37.12,28/11/2013,201306,,,145.82
NTC,NATIONAL TEA,10,A,Y,50,6600000,37.05,750 - 973.4,5379,250,66,Food & Allied,1979,0,4.33,46.06,0,49.61,5/7/2013,201212,,,660.35
NTLTUBES,NATIONAL TUBES,10,A,Y,100,18018000,39.18,36 - 101.9,1290.089,1000,180,Engineering,1989,0,51,20.53,0,28.47,7/12/2013,201306,,,5437.03
OLYMPIC,OLYMPIC INDUSTRIES,10,A,Y,500,117541968,15.5,87 - 258,17290.423,2000,1175,Engineering,1989,31.49,0,30.31,10.75,27.45,26/12/2013,201306,,,556.3
ONEBANKLTD,ONE BANK LIMITED,10,A,Y,500,476707002,16.23,13.7 - 24.8,7531.971,10000,4767,Bank,2003,33.18,0,0,0,66.82,13/06/2013,201212,,,2545.66
ORIONINFU,ORION INFUSION LTD.,10,A,Y,200,20359760,23.3,36.1 - 59.4,828.642,1000,204,Pharmaceuticals & Chemicals,1994,40.61,0,26.03,0.03,33.33,17/12/2013,201306,,,-61.06
ORIONPHARM,ORION PHARMA LTD.,10,A,Y,100,234000000,13.41,51.9 - 91,13735.8,5000,2340,Pharmaceuticals & Chemicals,2013,31.98,0,49.56,0,18.46,24/06/2013,201212,,,4287.31
PADMALIFE,PADMA ISLAMI LIFE INSURANCE LIMITED,10,B,Y,500,32400000,,52.4 - 77.2,2002.32,1000,324,Insurance,2012,60,0,8.05,0,31.95,29/09/2013,201212,,,0
PADMAOIL,PADMA OIL CO.,10,A,Y,100,89302500,9.14,167 - 490,22531.021,1000,893,Fuel & Power,1976,0,50.35,24.91,0,24.74,16/02/2013,201206,,,3437.42
PARAMOUNT,PARAMOUNT INSURANCE COMPANY LTD.,10,A,Y,500,20010375,16.39,20 - 32,496.257,600,200,Insurance,2007,42.41,0,0,0,57.59,12/6/2013,201212,,,60.88
PEOPLESINS,PEOPLES INSURANCE,10,A,Y,100,46200000,15.45,24.2 - 39.5,1552.32,2000,462,Insurance,1990,43.84,0,14.38,0,41.78,27/06/2013,201212,,,295.11
PF1STMF,PHOENIX FINANCE 1ST MUTUAL FUND,10,A,Y,500,60000000,6.25,4.7 - 8.1,324,0,600,Mutual Funds,2010,33.33,0,16.67,0,50,,201206,,,96.38
PHARMAID,PHARMA AIDS,10,A,Y,50,3120000,45.14,98.2 - 250,492.024,50,31,Pharmaceuticals & Chemicals,1987,28.76,0,5.85,0,65.39,26/12/2013,201306,,,50.5
PHENIXINS,PHOENIX INSURANCE,10,A,Y,200,40341572,11.22,37.9 - 68.1,1694.346,1000,403,Insurance,1994,50.32,0,15.77,0,33.91,12/6/2013,201212,,,424.45
PHOENIXFIN,PHOENIX FINANCE AND INVESTMENTS LTD.,10,A,Y,500,121494636,14.04,24 - 51.9,4361.657,3000,1215,Financial Institutions,2007,57.63,0,22.61,0,19.76,13/06/2013,201212,,,839.76
PHPMF1,PHP FIRST MUTUAL FUND,10,A,Y,500,200000000,12.5,4.8 - 8,1100,0,2000,Mutual Funds,2010,10,0,40,0,50,,201306,,,259.1
PIONEERINS,PIONEER INSURANCE,10,A,Y,500,42412500,11.69,60.1 - 96,2816.19,500,424,Insurance,2001,66.97,0,0,0,33.03,17/06/2013,201212,,,443.12
PLFSL,PEOPLES LEASING AND FIN. SERVICES LTD.,10,A,Y,100,235901320,21.99,19.5 - 38.5,6015.484,5000,2359,Financial Institutions,2005,38.58,0,5.18,0,56.24,27/06/2013,201212,,,747.96
POPULAR1MF,POPULAR LIFE FIRST MUTUAL FUND,10,A,Y,500,204721435,8.82,4.8 - 8.7,1228.329,0,2047,Mutual Funds,2010,10,0,45,0,45,,201306,,,329.01
POPULARLIF,POPULAR LIFE INSURANCE CO. LTD.,10,A,Y,500,30830795,,117.9 - 259.7,6585.458,5000,308,Insurance,2005,38.89,0,0,0,61.11,22/08/2013,201212,,,0
POWERGRID,POWER GRID COMPANY OF BANGLADESH LTD.,10,A,Y,500,460912991,12.55,48.4 - 69.5,24336.206,10000,4609,Fuel & Power,2006,0,76.25,19.6,0,4.15,5/1/2013,201206,,,5702.37
PRAGATIINS,PRAGATI INSURANCE,10,A,Y,100,52952704,12.83,40.6 - 72,2848.855,2000,530,Insurance,1996,50,0,0,0,50,15/05/2013,201212,,,2134.06
PRAGATILIF,PRAGATI LIFE INSURANCE LTD.,10,A,Y,500,9878400,,90.4 - 180,1623.021,250,99,Insurance,2006,41.32,0,29.75,0,28.93,7/9/2013,201212,,,0
PREMIERBAN,THE PREMIER BANK LTD.,10,A,Y,250,512457607,n/a,8.7 - 16.7,5585.788,6000,5125,Bank,2007,46.88,0,20.71,0.25,32.16,6/5/2013,201212,,,2023.75
PREMIERCEM,PREMIER CEMENT MILLS LIMITED,10,N,Y,200,105450000,21.1,65.4 - 152.1,10502.82,5000,1055,Cement,2013,88.61,0,1.14,0,10.25,17/12/2013,201306,,,1469.67
PREMIERLEA,PREMIER LEASING & FINANCE LIMITED,10,Z,Y,500,109394922,252.5,9.8 - 19.1,1093.949,3000,1094,Financial Institutions,2005,35.46,0,9.64,0,54.9,24/06/2013,201212,,,124.34
PRIME1ICBA,PRIME BANK 1ST ICB AMCL MUTUAL FUND,10,A,Y,500,100000000,7.24,4.9 - 7.8,550,0,1000,Mutual Funds,2010,20,0,40,0,40,,201206,,,96.38
PRIMEBANK,PRIME BANK,10,A,Y,250,1029348615,46.07,16.8 - 38.5,26660.129,25000,10293,Bank,2000,40.56,0,20.12,3.81,35.51,31/03/2013,201212,,,8427.09
PRIMEFIN,PRIME FINANCE & INVESTMENT LTD.,10,A,Y,50,272916483,37.23,20.5 - 44.9,7286.87,3000,2729,Financial Institutions,2005,68.71,0,11.79,0,19.5,27/03/2013,201212,,,1670.24
PRIMEINSUR,PRIME INSURACE,10,A,Y,250,33853001,13.94,24 - 50,1093.452,1000,339,Insurance,2001,35,0,20,0,45,31/03/2013,201212,,,140.03
PRIMELIFE,PRIME ISLAMI LIFE INSURANCE LTD.,10,A,Y,50,22977776,,89.4 - 121.8,2334.542,500,230,Insurance,2007,35.79,0,0,0,64.21,8/9/2013,201212,,,0
PRIMETEX,PRIME TEXTILE,10,A,Y,500,38200000,23.89,16.8 - 34.2,993.2,1500,382,Textile,1995,50,0,12.87,0.25,36.88,28/12/2013,201306,,,1415.12
PROGRESLIF,PROGRESSIVE LIFE INSURANCE CO. LTD.,10,A,Y,500,12865776,,84.1 - 137,1464.125,750,129,Insurance,2006,44.44,0,22.01,0,33.55,1/9/2013,201212,,,0
PROVATIINS,PROVATI INSURANCE COMPANY LIMITED,10,A,Y,500,21073920,12.72,25 - 36.6,596.392,1250,211,Insurance,2009,37.09,0,6.72,0,56.19,30/06/2013,201212,,,90.61
PTL,PARAMOUNT TEXTILE LIMITED,10,N,Y,250,95340000,15.22,44 - 72,4929.078,2000,953,Textile,2013,64.76,0,3.52,0,31.72,30/12/2013,201306,,,452.3
PUBALIBANK,PUBALI BANK,10,A,Y,25,838451250,15.47,27 - 37,27249.666,20000,8385,Bank,1984,14.54,0,26.07,0,59.39,21/08/2013,201212,,,9373.27
